label,compressor,bitwidth,stage,context_length,key_rmse,value_rmse,attention_rmse,attention_cosine,attention_max_error,uncompressed_bytes,compressed_bytes,compression_ratio,effective_bits_per_kv_element,shared_metadata_bytes,perplexity_compressed,perplexity_baseline,tokens_per_second,latency_ms_per_token,online_compressed_kv,finished_at
tq_full_b2,turboquant,2,full,128,1.7454190850257874,4.546461650303432,12.96194276436837,0.8547886439732143,312.875,14680064,2869008,5.11677346316218,3.1269705636160716,16,19413.90215358096,14.207357388256316,0.26184363339580763,3819.0731889531253,True,2026-07-04T17:54:55.361891+00:00
tq_full_b2,turboquant,2,full,256,1.760376289486885,4.669204875826836,13.120427624464872,0.7500174386160714,382.3125,29360128,5736208,5.118386223093723,3.1259852818080356,16,85998.11467172392,17.667764627830792,0.15615679955646153,6403.819768593749,True,2026-07-04T18:07:10.209600+00:00
tq_full_b2,turboquant,2,full,512,1.7773095624787467,4.610575628866043,13.12908222617546,0.5752825055803571,382.1875,58720256,11470608,5.119192984364909,3.125492640904018,16,50875.45505949742,14.114851285222572,0.07276122008627707,13743.584821890614,True,2026-07-04T18:58:50.668142+00:00
tq_full_b3,turboquant,3,full,128,0.7318417994039399,1.8470656591068422,5.375094181279543,0.8860386439732143,144.0,14680064,3786528,3.8769194364864066,4.126988002232143,32,96.4778680141859,14.207357388256316,0.2778036843712155,3599.664281859375,True,2026-07-04T17:54:28.127676+00:00
tq_full_b3,turboquant,3,full,256,0.7381735986896923,1.8979164866198386,5.402562012943709,0.7789829799107143,165.5,29360128,7571232,3.8778534325721363,4.125994001116071,32,454.44378613108904,17.65838206364638,0.13722338052729063,7287.38787921875,True,2026-07-04T18:09:36.588209+00:00
tq_full_b3,turboquant,3,full,512,0.7448906781417983,1.8732202381693892,5.411596516893132,0.5984584263392857,165.5,58720256,15140640,3.8783205993934207,4.125497000558036,32,214.8481859927266,14.114851285222572,0.08306483309093522,12038.789013218746,True,2026-07-04T18:50:32.885165+00:00
tq_full_b4,turboquant,4,full,128,0.3504171504506043,0.8301920761753406,2.4788799897702325,0.8913225446428571,68.0,14680064,4704064,3.1207194459939323,5.127022879464286,64,18.117636462456012,14.207357388256316,0.2777673007460195,3600.1357874531254,True,2026-07-04T17:54:30.128118+00:00
tq_full_b4,turboquant,4,full,256,0.35305856115051676,0.851904326384621,2.4973665542455157,0.7838483537946429,68.25,29360128,9406272,3.1213352112292734,5.126011439732143,64,25.301221174825326,17.65838206364638,0.13642685187566905,7329.9353188281275,True,2026-07-04T18:09:38.905683+00:00
tq_full_b4,turboquant,4,full,512,0.35668256506323814,0.8409153964769628,2.4922202685080457,0.6023297991071429,75.0,58720256,18810688,3.121643184980794,5.125505719866071,64,18.63528373856172,14.114851285222572,0.08090327542575018,12360.438990109373,True,2026-07-04T18:57:19.247804+00:00
tq_mse_b4,turboquant,4,wht_quant,128,0.3504171504506043,0.5251491596988801,2.4788799897702325,0.8913225446428571,68.0,14680064,4130624,3.5539579492105795,4.502022879464286,64,21.692225094607178,14.207357388256316,0.315555011328346,3169.0195500000004,True,2026-07-04T17:53:50.828415+00:00
tq_mse_b4,turboquant,4,wht_quant,256,0.35305801619376453,0.5397142135604683,2.4973506611630323,0.7837262834821429,67.75,29360128,8259392,3.554756572880909,4.501011439732143,64,25.297475760288684,17.667764627830792,0.18067824570083713,5534.700628296873,True,2026-07-04T18:04:31.862488+00:00
tq_mse_b4,turboquant,4,wht_quant,512,0.35668256506323814,0.5327904989410724,2.4922202685080457,0.6023297991071429,75.0,58720256,16516928,3.555156019327565,4.500505719866071,64,18.842648192441793,14.114851285222572,0.09614350077746917,10401.119076312498,True,2026-07-04T18:47:56.897238+00:00
